show,type,genre,opening,closing,performances 
Slow Dance on the Killing Ground,Original,Play,"Nov 30, 1964","Feb 13, 1965",88
Sly Fox,Original,"Play, Comedy","Dec 14, 1976","Feb 19, 1978",495
Sly Fox,Revival,"Play, Comedy","Apr 01, 2004","Aug 29, 2004",173
Small Miracle,Original,"Play, Melodrama","Sep 26, 1934",Jan 1935,117
Small War on Murray Hill,Original,"Play, Comedy","Jan 03, 1957","Jan 12, 1957",12
Small Wonder,Original,"Musical, Revue","Sep 15, 1948","Jan 08, 1949",134
Smile,Original,Musical,"Nov 24, 1986","Jan 03, 1987",48
Smile at Me,Original,"Musical, Revue","Aug 23, 1935","Sep 14, 1935",27
Smiles,Original,"Musical, Comedy","Nov 18, 1930","Jan 10, 1931",63
Smiling Faces,Original,"Musical, Comedy","Aug 30, 1932","Sep 24, 1932",31
Smith,Original,Play,"Sep 05, 1910",Dec 1910,112
Smith,Original,Musical,"May 19, 1973","Jun 03, 1973",17
Smokey Joe's Cafe,Original,"Musical, Revue","Mar 02, 1995","Jan 16, 2000",2036
Smooth as Silk,Original,"Play, Melodrama","Feb 22, 1921",Apr 1921,50
Snafu,Original,Play,"Oct 25, 1944","Mar 10, 1945",158
Snapshots of 1921,Original,"Musical, Revue","Jun 02, 1921","Aug 06, 1921",60
Snobs,Original,"Play, Comedy","Sep 04, 1911",Oct 1911,64
Snookie,Original,Play,"Jun 03, 1941","Jun 14, 1941",15
Snow White and the Seven Dwarfs,Original,Play,"Nov 07, 1912",<em>Closing date unknown</em>,72
So Am I,Original,"Play, Comedy","Jan 27, 1928",Feb 1928,27
So Long Letty,Original,"Musical, Farce","Oct 23, 1916","Jan 13, 1917",96
So Long on Lonely Street,Original,"Play, Comedy","Apr 03, 1986","May 18, 1986",53
"So Long, 174th Street",Original,Musical,"Apr 27, 1976","May 09, 1976",16
So Many Paths,Original,"Play, Drama","Dec 06, 1934","Jan 05, 1934",28
So Much for So Much,Original,Play,"Dec 02, 1914",Dec 1914,30
So Proudly We Hail,Original,"Play, Drama","Sep 22, 1936",Oct 1936,14
So This Is London,Original,"Play, Comedy","Aug 30, 1922",Jun 1923,343
So this is Politics ( Strange Bedfellows ),Original,"Play, Comedy","Jun 16, 1924",Oct 1924,144
So Was Napoleon (Sap from Syracuse),Original,"Play, Farce","Jan 08, 1930",Jan 1930,25
Social Security,Original,"Play, Comedy","Apr 17, 1986","Mar 22, 1987",388
Society and the Bulldog,Original,"Play, Comedy","Jan 18, 1908","Feb 07, 1908",17
Society Girl,Original,"Play, Comedy","Dec 30, 1931",Jan 1932,13
Sold and Paid For,Original,Play,"Dec 07, 1900",<em>Closing date unknown</em>,1
Soldier's Wife,Original,Play,"Oct 04, 1944","May 12, 1945",253
Soldiers,Original,Play,"May 01, 1968","May 18, 1968",21
Soldiers and Women,Original,"Play, Drama","Sep 02, 1929",Oct 1929,64
Soldiers of Fortune,Original,"Play, Drama","Mar 17, 1902","May 31, 1902",88
Soldiers of Fortune,Original,"Play, Drama","Aug 30, 1902",Oct 1902,41
Solid Ivory,Original,"Play, Comedy","Nov 16, 1925",Dec 1925,32
Soliloquy,Original,"Play, Drama","Nov 28, 1938",Nov 1938,2
Solitaire,Original,Play,"Jan 27, 1942","Feb 14, 1942",23
Solitary Confinement,Original,"Play, Solo","Nov 08, 1992","Nov 29, 1992",25
Solomon's Child,Original,Play,"Apr 08, 1982","Apr 10, 1982",4
Some Americans Abroad,Original,Play,"May 02, 1990","Jun 17, 1990",55
Some Baby!,Original,Play,"Aug 12, 1915",Oct 1915,72
Some of My Best Friends,Original,Play,"Oct 25, 1977","Oct 29, 1977",7
Some One in the House,Original,Play,"Sep 09, 1918",Oct 1918,32
Some Party,Original,"Musical, Revue","Apr 15, 1922","Apr 29, 1922",17
Somebody's Luggage,Original,Play,"Aug 28, 1916",Oct 1916,40
Somebody's Sweetheart,Original,Musical,"Dec 23, 1918","Jul 05, 1919",224
Someone Waiting,Original,"Play, Drama","Feb 14, 1956","Feb 25, 1956",15
Someone Who'll Watch Over Me,Original,Play,"Nov 23, 1992","Jun 13, 1993",232
Something About a Soldier,Original,Play,"Jan 04, 1962","Jan 13, 1962",12
Something for Nothing,Original,"Play, Comedy","Dec 09, 1937",Dec 1937,2
Something for the Boys,Original,"Musical, Comedy","Jan 07, 1943","Jan 08, 1944",422
Something Gay,Original,"Play, Comedy","Apr 29, 1935",Jul 1935,72
Something More!,Original,Musical,"Nov 10, 1964","Nov 21, 1964",15
"Something Old, Something New",Original,"Play, Comedy","Jan 01, 1977","Jan 01, 1977",1
Something Rotten!,Original,"Musical, Comedy","Apr 22, 2015","Jan 01, 2017",708
Something Unspoken,Original,Play,"Oct 10, 1995","Nov 05, 1995",31
Something's Afoot,Original,"Musical, Mystery","May 27, 1976","Jul 18, 1976",61
Sometime,Original,Musical,"Oct 04, 1918","Jun 07, 1919",283
Somewhere Else,Original,"Musical, Fantasy","Jan 20, 1913","Jan 25, 1913",8
Sondheim on Sondheim,Original,"Musical, Revue","Apr 22, 2010","Jun 27, 2010",76
Song and Dance,Original,Musical,"Sep 18, 1985","Nov 08, 1986",474
Song of Norway,Original,"Musical, Operetta","Aug 21, 1944","Sep 07, 1946",860
Song of the Grasshopper,Original,"Play, Comedy","Sep 28, 1967","Sep 30, 1967",4
Sons and Soldiers,Original,Play,"May 04, 1943","May 22, 1943",22
Sons O' Guns,Original,"Musical, Comedy","Nov 26, 1929","Aug 09, 1930",295
Sons of Ham,Original,"Musical, Comedy","Oct 15, 1900","Oct 20, 1900",8
Sons of Ham,Revival,"Musical, Comedy","Apr 29, 1901","May 04, 1901",8
Sonya,Original,"Play, Romance","Aug 15, 1921",Nov 1921,101
Soon,Original,Musical,"Jan 12, 1971","Jan 13, 1971",3
Sophie,Original,"Play, Comedy","Dec 25, 1944","Dec 30, 1944",9
Sophie,Original,Musical,"Apr 15, 1963","Apr 20, 1963",8
Sophisticated Ladies,Original,"Musical, Revue","Mar 01, 1981","Jan 02, 1983",767
Sort of an Adventure,Original,"Play, Comedy","Apr 22, 1981","Apr 22, 1981",1
Soul Doctor,Original,Musical,"Aug 15, 2013","Oct 13, 2013",66
Soul of Shaolin,Original,"Special, Spectacle","Jan 15, 2009","Jan 31, 2009",21
Sour Grapes,Original,"Play, Comedy","Sep 06, 1926",Oct 1926,40
South Pacific,Original,Play,"Dec 29, 1943","Jan 01, 1944",5
South Pacific,Original,"Musical, Drama","Apr 07, 1949","Jan 16, 1954",1925
South Pacific,Revival,"Musical, Drama","May 04, 1955","May 15, 1955",15
South Pacific,Revival,"Musical, Drama","Apr 03, 2008","Aug 22, 2010",996
Southern Exposure,Original,"Play, Comedy","Sep 26, 1950","Oct 14, 1950",23
Spamalot,Original,"Musical, Comedy","Mar 17, 2005","Jan 11, 2009",1575
Spanish Love,Original,"Play, Drama","Aug 17, 1920",May 1921,308
Speak Easy,Original,"Play, Melodrama","Sep 26, 1927",Nov 1927,57
Speaking of Murder,Original,Play,"Dec 19, 1956","Jan 19, 1957",37
Special Occasions,Original,Play,"Feb 07, 1982","Feb 07, 1982",1
Speed,Original,Play,"Sep 09, 1911",Sep 1911,15
Speed-the-Plow,Original,Play,"May 03, 1988","Dec 31, 1988",279
Speed-the-Plow,Revival,Play,"Oct 23, 2008","Feb 22, 2009",140
Spellbound,Original,"Play, Drama","Feb 15, 1927","Feb 18, 1927",3
Spellbound,Original,Play,"Nov 14, 1927",Dec 1927,24
Spice of 1922,Original,"Musical, Revue","Jul 06, 1922","Sep 09, 1922",85
Spider-Man: Turn Off The Dark,Original,"Musical, Spectacle","Jun 14, 2011","Jan 04, 2014",1066
Spite Corner,Original,"Play, Comedy","Sep 25, 1922",Jan 1923,121
Spofford,Original,"Play, Comedy","Dec 14, 1967","Jun 08, 1968",202
Spoils of War,Original,Play,"Nov 10, 1988","Dec 10, 1988",36
SpongeBob SquarePants,Original,Musical,"Dec 04, 2017","Sep 16, 2018",327
Sponono,Original,"Play, Drama","Apr 02, 1964","Apr 18, 1964",20
Spook Scandals,Original,Special,"Dec 08, 1944","Dec 09, 1944",2
Spoon River Anthology,Original,Musical,"Sep 29, 1963","Jan 04, 1964",111
Sport of Kings,Original,"Play, Comedy","May 04, 1926",May 1926,23
Spotless Town,Original,"Musical, Comedy","Apr 02, 1903","Apr 07, 1903",8
Spread Eagle,Original,"Play, Drama","Apr 04, 1927",Jun 1927,80
Spring,Original,Play,Nov 1934,Nov 1934,2
Spring 3100,Original,Play,"Feb 15, 1928",Mar 1928,29
Spring Again,Original,Play,"Nov 10, 1941","Jan 10, 1942",241
Spring Awakening,Original,"Musical, Drama","Dec 10, 2006","Jan 18, 2009",859
Spring Cleaning,Original,"Play, Comedy","Nov 09, 1923",Jun 1924,251
Spring Dance,Original,"Play, Comedy","Aug 25, 1936",Sep 1936,24
Spring Fever,Original,"Play, Comedy","Aug 03, 1925",Sep 1925,56
Spring Freshet,Original,Play,"Oct 04, 1934","Oct 13, 1934",12
Spring in Autumn,Original,"Play, Comedy","Oct 24, 1933",Nov 1933,41
Spring is Here,Original,"Musical, Comedy","Mar 11, 1929","Jun 08, 1929",104
Spring Meeting,Original,"Play, Comedy","Dec 08, 1938",Mar 1939,98
Spring Song,Original,Play,"Dec 20, 1927",Jan 1928,13
Spring Song,Original,Play,"Oct 01, 1934",Nov 1934,40
Spring Thaw,Original,"Play, Comedy","Mar 21, 1938","Mar 26, 1938",8
Springsteen on Broadway,Original,"Special, Concert","Oct 12, 2017","Dec 15, 2018",229
Springtime Folly,Original,"Play, Comedy","Feb 26, 1951","Feb 27, 1951",2
Springtime for Henry,Original,"Play, Comedy","Dec 09, 1931",May 1932,199
Springtime for Henry,Revival,"Play, Comedy","May 01, 1933","May 13, 1933",16
Springtime for Henry,Revival,Play,"Mar 14, 1951","Apr 28, 1951",53
Springtime of Youth,Original,Musical,"Oct 26, 1922","Dec 23, 1922",68
Squaring the Circle,Original,"Play, Comedy","Oct 03, 1935",Jan 1936,108
St. Helena,Original,"Play, Drama","Oct 06, 1936",Nov 1936,63
St. Louis Woman,Original,Musical,"Mar 30, 1946","Jul 06, 1946",113
St. Mark's Gospel,Original,"Play, Solo","Oct 24, 1978","Nov 12, 1978",18
St. Mark's Gospel,Original,"Play, Solo","May 13, 1981","May 31, 1981",22
St. Simeon Stylites,Original,Play,"May 06, 1926","May 06, 1926",1
Stage Door,Original,"Play, Comedy","Oct 22, 1936",Mar 1937,169
Stages,Original,Play,"Mar 19, 1978","Mar 19, 1978",1
Staircase,Original,Play,"Jan 10, 1968","Mar 02, 1968",61
Stand-Up Tragedy,Original,Play,"Oct 04, 1990","Oct 16, 1990",13
Stanley,Original,Play,"Feb 20, 1997","Apr 27, 1997",77
Star and Garter,Original,"Musical, Revue","Jun 24, 1942","Dec 04, 1943",609
Star Spangled,Original,"Play, Comedy","Mar 10, 1936",Mar 1936,23
Star Time,Original,"Musical, Vaudeville","Sep 12, 1944","Dec 09, 1944",120
Star-Spangled Family,Original,"Play, Comedy","Apr 10, 1945","Apr 13, 1945",5
Stardust,Original,"Musical, Revue","Feb 19, 1987","May 17, 1987",101
Starlight,Original,"Play, Comedy","Mar 03, 1925",May 1925,71
Starlight Express,Original,"Musical, Comedy","Mar 15, 1987","Jan 08, 1989",761
Starmites,Original,"Musical, Comedy","Apr 27, 1989","Jun 18, 1989",60
Stars In Your Eyes,Original,"Musical, Comedy","Feb 09, 1939","May 27, 1939",127
Stars on Ice,Original,Special,"Jul 02, 1942","Apr 16, 1944",827
Stars on Ice,Revival,Special,"Jun 24, 1943","Apr 16, 1944",403
State Fair,Original,"Musical, Comedy","Mar 27, 1996","Jun 30, 1996",110
State of the Union,Original,"Play, Comedy","Nov 14, 1945","Sep 13, 1947",765
Status Quo Vadis,Original,Play,"Feb 18, 1973","Feb 18, 1973",1
Steadfast,Original,"Play, Drama","Oct 29, 1923",Nov 1923,8
Steaming,Original,Play,"Dec 12, 1982","Feb 05, 1983",65
Steel,Original,"Play, Drama","Nov 17, 1931","Nov 28, 1931",14
Steel,Original,"Play, Drama","Dec 19, 1939","Dec 30, 1939",9
Steel Magnolias,Original,"Play, Drama","Apr 04, 2005","Jul 31, 2005",136
Steel Pier,Original,Musical,"Apr 24, 1997","Jun 28, 1997",76
Step on a Crack,Original,Play,"Oct 17, 1962","Oct 17, 1962",1
Step This Way,Original,"Musical, Comedy","May 29, 1916","Aug 12, 1916",88
Stepdaughters of War,Original,"Play, Drama","Oct 06, 1930",Oct 1930,24
Stephanie Mills Comes &#34;Home&#34; to Broadway,Original,Special,"Dec 26, 1989","Dec 31, 1989",8
Stepping Out,Original,"Play, Farce","May 20, 1929",Jun 1929,24
Stepping Out,Original,Play,"Jan 11, 1987","Mar 15, 1987",73
Steve,Original,Play,"Sep 28, 1912",Oct 1912,9
Stevedore,Original,"Play, Drama","Apr 18, 1934",Jul 1934,111
Stevedore,Revival,"Play, Drama","Oct 01, 1934",Nov 1934,64
Stick Fly,Original,Play,"Dec 08, 2011","Feb 26, 2012",93
Stick-in-the-Mud,Original,"Play, Comedy","Nov 26, 1935",Dec 1935,9
Sticks and Bones,Original,Play,"Mar 01, 1972","Oct 01, 1972",246
Still Waters,Original,"Play, Comedy","Mar 01, 1926",Mar 1926,16
Stockade,Original,"Play, Drama","Feb 04, 1954","Feb 06, 1954",4
Stolen Fruit,Original,"Play, Drama","Oct 07, 1925",Dec 1925,96
Stolen Orders,Original,Play,"Sep 24, 1915",Oct 1915,19
Stones in His Pockets,Original,"Play, Comedy","Apr 01, 2001","Sep 23, 2001",198
Stop Press,Original,"Play, Drama","Mar 19, 1939","Mar 19, 1939",1
Stop the World - I Want to Get Off,Original,Musical,"Oct 03, 1962","Feb 01, 1964",555
Stop the World - I Want to Get Off,Revival,Musical,"Aug 03, 1978","Aug 27, 1978",30
Stop Thief,Original,"Play, Comedy","Dec 25, 1912",May 1913,149
Stop! Look! Listen!,Original,"Musical, Comedy","Dec 25, 1915","Mar 25, 1916",105
Stop-over,Original,"Play, Drama","Jan 11, 1938","Jan 29, 1938",23
Stork Mad,Original,"Play, Farce","Sep 30, 1936",Oct 1936,5
Storm Operation,Original,Play,"Jan 11, 1944","Jan 29, 1944",23
Storm Over Patsy,Original,"Play, Comedy","Mar 08, 1937",Apr 1937,48
Straight White Men,Original,"Play, Comedy","Jul 23, 2018","Sep 09, 2018",56
Strange Bedfellows,Original,"Play, Comedy","Jan 14, 1948","Jul 31, 1948",229
Strange Child,Original,"Play, Comedy",Feb 1935,<em>Closing date unknown</em>,0
Strange Fruit,Original,Play,"Nov 29, 1945","Jan 19, 1946",60
Strange Gods,Original,"Play, Drama","Apr 15, 1933",Apr 1933,9
Strange Interlude,Original,"Play, Drama","Jan 30, 1928","Jun 15, 1929",426
Strange Interlude,Revival,"Play, Drama","Mar 11, 1963","Jun 29, 1963",97
Strange Interlude,Revival,"Play, Drama","Feb 21, 1985","May 05, 1985",63
Strange Orchestra,Original,"Play, Comedy","Nov 28, 1933","Nov 28, 1933",1
Stranger Than Fiction,Original,Play,"Mar 05, 1917",Mar 1917,16
Strangers,Original,Play,"Mar 04, 1979","Mar 11, 1979",9
Strangers at Home,Original,"Play, Comedy","Sep 14, 1934",Sep 1934,11
Stray Leaves,Original,Play,"Jun 28, 1933",Jun 1933,2
Streamers,Original,"Play, Drama","Apr 21, 1976","Jun 05, 1977",478
Street Corner Symphony,Original,"Musical, Revue","Nov 24, 1997","Feb 01, 1998",79
Street Scene,Original,Play,"Jan 10, 1929",Jun 1930,601
Street Scene,Original,"Musical, Drama","Jan 09, 1947","May 17, 1947",148
Streets of Paris,Original,"Musical, Revue","Jun 19, 1939","Feb 10, 1940",274
Strictly Dishonorable,Original,"Play, Comedy","Sep 18, 1929",Jan 1931,557
Strike Me Pink,Original,"Musical, Revue","Mar 04, 1933","Jun 10, 1933",122
Strike Up the Band,Original,"Musical, Comedy","Jan 14, 1930","Jun 28, 1930",191
Strip for Action,Original,Play,"Sep 30, 1942","Jan 02, 1943",110
Strip Girl,Original,"Play, Comedy","Oct 19, 1935",Nov 1935,33
Stripped,Original,"Play, Drama","Oct 21, 1929",Nov 1929,24
Strolling Players,Original,Play,"Feb 27, 1905","Apr 08, 1905",24
Stronger Than Love,Original,Play,"Dec 28, 1925",Feb 1926,49
Stubborn Cinderella,Original,"Musical, Play","Jan 25, 1909","Apr 10, 1909",88
Styles in Acting,Original,"Special, Sketches","Apr 03, 1932","Apr 10, 1932",2
Substitute For Murder,Original,"Play, Comedy","Oct 22, 1935",Nov 1935,15
Subway Express,Original,"Play, Drama","Sep 24, 1929",May 1930,271
Subways Are for Sleeping,Original,"Musical, Comedy","Dec 27, 1961","Jun 23, 1962",205
Success,Original,Play,"Jan 28, 1918",Mar 1918,64
Success Story,Original,Play,"Sep 26, 1932",Jan 1933,121
Such a Little Queen,Original,"Play, Comedy","Aug 31, 1909",Nov 1909,103
Such Is Life,Original,Play,"Nov 25, 1916",<em>Closing date unknown</em>,9
Such Is Life,Original,Play,"Aug 31, 1927",Sep 1927,21
Suddenly Last Summer,Original,Play,"Oct 10, 1995","Nov 05, 1995",31
Suds in Your Eye,Original,Play,"Jan 12, 1944","Feb 12, 1944",37
"Sue, Dear",Original,"Musical, Comedy","Jul 10, 1922","Sep 30, 1922",96
Sugar,Original,"Musical, Comedy","Apr 09, 1972","Jun 23, 1973",505
Sugar Hill,Original,"Musical, Comedy","Dec 25, 1931","Jan 02, 1932",11
Summer and Smoke,Original,Play,"Oct 06, 1948","Jan 01, 1949",102
Summer and Smoke,Revival,Play,"Sep 05, 1996","Oct 20, 1996",53
Summer Brave,Original,"Play, Comedy","Oct 26, 1975","Nov 09, 1975",18
Summer Night,Original,"Play, Drama","Nov 02, 1939","Nov 04, 1939",4
Summer of the 17th Doll,Original,Play,"Jan 22, 1958","Feb 15, 1958",29
Summer Wives,Original,"Play, Comedy","Apr 13, 1936","Apr 18, 1936",8
Sumurun,Original,"Play, Pantomime","Jan 16, 1912",Mar 1912,62
Sun Kissed,Original,"Play, Comedy","Mar 10, 1937","Apr 24, 1937",53
Sun Showers,Original,"Musical, Comedy","Feb 05, 1923","Mar 17, 1923",48
Sun-kist,Original,"Musical, Revue","May 23, 1921","Jul 02, 1921",48
Sun-Up,Original,"Play, Drama","May 25, 1923",Jun 1923,28
Sun-Up,Revival,"Play, Drama","Oct 22, 1928",Jan 1929,101
Sun-Up,Revival,"Play, Drama","May 09, 1930","May 09, 1930",1
Sunday,Original,"Play, Comedy","Nov 15, 1904",Jan 1905,79
Sunday Breakfast,Original,Play,"May 28, 1952","Jun 08, 1952",16
Sunday in New York,Original,Play,"Nov 29, 1961","May 12, 1962",188
Sunday in the Park with George,Original,Musical,"May 02, 1984","Oct 13, 1985",604
Sunday in the Park with George,Revival,Musical,"Feb 21, 2008","Jun 29, 2008",149
Sunday in the Park with George,Revival,Musical,"Feb 23, 2017","Apr 23, 2017",61
Sundown Beach,Original,Play,"Sep 07, 1948","Sep 11, 1948",7
Sunny,Original,"Musical, Comedy","Sep 22, 1925","Dec 11, 1926",517
Sunny Days,Original,"Musical, Comedy","Feb 08, 1928","May 05, 1928",101
Sunny Days,Revival,"Musical, Comedy","Oct 01, 1928","Oct 27, 1928",32
Sunny River,Original,Musical,"Dec 04, 1941","Jan 03, 1942",36
Sunrise at Campobello,Original,"Play, Drama","Jan 30, 1958","May 30, 1959",556
Sunset Boulevard,Original,"Musical, Drama","Nov 17, 1994","Mar 22, 1997",976
Sunset Boulevard,Revival,Musical,"Feb 09, 2017","Jun 25, 2017",138
Sunshine,Original,"Play, Comedy","Aug 17, 1926",Aug 1926,15
Sunup to Sundown,Original,Play,"Feb 01, 1938",Feb 1938,7
Superior Donuts,Original,Play,"Oct 01, 2009","Jan 03, 2010",109
Sure Fire,Original,"Play, Comedy","Oct 20, 1926",Nov 1926,37
Susan and God,Original,"Play, Comedy","Oct 07, 1937","Jun 10, 1938",288
Susan and God,Original,"Play, Comedy","Dec 13, 1943","Dec 18, 1943",8
Susan in Search of a Husband,Original,"Play, Comedy","Nov 20, 1906",Dec 1906,14
Susanna and the Elders,Revival,Special,"May 09, 1948","Jul 10, 1948",69
"Susanna, Don't You Cry",Original,"Musical, Romance","May 22, 1939","May 27, 1939",5
Suspect,Original,"Play, Drama","Apr 09, 1940","May 04, 1940",31
Suspense,Original,"Play, Melodrama","Aug 12, 1930",Aug 1930,7
Suzanna and the Elders,Original,"Play, Comedy","Oct 29, 1940","Nov 23, 1940",30
Suzanne,Original,"Play, Comedy","Dec 26, 1910",Feb 1911,64
Suzette,Original,"Musical, Comedy","Nov 24, 1921","Nov 26, 1921",4
Swan Lake,Original,"Musical, Ballet","Oct 08, 1998","Jan 23, 1999",124
Swan Song,Original,Play,"May 15, 1946","Sep 28, 1946",22
Sweat,Original,"Play, Drama","Mar 26, 2017","Jun 25, 2017",105
Sweeney Todd,Original,"Play, Melodrama","Jul 16, 1924","Sep 13, 1924",67
Sweeney Todd,Original,"Musical, Thriller","Mar 01, 1979","Jun 29, 1980",557
Sweeney Todd,Revival,"Musical, Thriller","Sep 14, 1989","Feb 25, 1990",188
Sweeney Todd,Revival,"Musical, Thriller","Nov 03, 2005","Sep 03, 2006",349
Sweet Adeline,Original,"Musical, Comedy","Sep 03, 1929","Mar 22, 1930",234
Sweet Aloes,Original,"Play, Drama","Mar 04, 1936",Mar 1936,24
Sweet and Low,Original,"Musical, Revue","Nov 17, 1930",Apr 1931,184
Sweet and Twenty,Original,"Play, Comedy","Dec 30, 1901",Jan 1902,16
Sweet and Twenty,Original,"Play, Comedy","Jan 13, 1902",Feb 1902,32
Sweet Bird of Youth,Original,"Play, Drama","Mar 10, 1959","Jan 30, 1960",375
Sweet Bird of Youth,Revival,"Play, Drama","Dec 29, 1975","Feb 08, 1976",48
Sweet Chariot,Original,"Play, Comedy","Oct 23, 1930",Oct 1930,3
Sweet Charity,Original,"Play, Comedy","Dec 28, 1942","Jan 02, 1943",8
Sweet Charity,Original,"Musical, Comedy","Jan 29, 1966","Jul 15, 1967",608
Sweet Charity,Revival,"Musical, Comedy","Apr 27, 1986","Mar 15, 1987",369
Sweet Charity,Revival,"Musical, Comedy","May 04, 2005","Dec 31, 2005",279
Sweet Genevieve,Original,"Play, Comedy","Mar 20, 1945","Mar 20, 1945",1
Sweet Kitty Bellairs,Original,"Play, Drama","Dec 09, 1903","Jun 04, 1904",206
Sweet Land,Original,Play,"Jan 19, 1937","Feb 28, 1937",35
Sweet Land of Liberty,Original,"Play, Melodrama","Sep 23, 1929",Sep 1929,8
Sweet Little Devil,Original,"Musical, Comedy","Jan 21, 1924","May 03, 1924",120
Sweet Marie,Original,"Musical, Comedy","Oct 10, 1901","Nov 02, 1901",28
Sweet Mystery of Life,Original,"Play, Comedy","Oct 11, 1935",Oct 1935,11
Sweet River,Original,"Play, Drama","Oct 28, 1936",Nov 1936,5
Sweet Seventeen,Original,"Play, Comedy","Mar 17, 1924",May 1924,72
Sweet Smell of Success,Original,"Musical, Drama","Mar 14, 2002","Jun 15, 2002",109
Sweet Stranger,Original,"Play, Comedy","Oct 21, 1930",Nov 1930,24
Sweet Sue,Original,Play,"Jan 08, 1987","May 31, 1987",164
Sweetheart Time,Original,"Musical, Comedy","Jan 19, 1926","May 22, 1926",143
Sweethearts,Original,"Musical, Comedy","Sep 08, 1913","Jan 03, 1914",136
Sweethearts,Revival,"Musical, Comedy","Jan 21, 1947","Sep 27, 1947",288
Swifty,Original,"Play, Comedy","Oct 16, 1922",Nov 1922,24
Swing It,Original,"Musical, Comedy","Jul 22, 1937","Sep 01, 1937",36
Swing Your Lady,Original,"Play, Comedy","Oct 18, 1936",Jan 1937,105
Swinging on a Star,Original,"Musical, Revue","Oct 22, 1995","Jan 13, 1996",96
Swords,Original,"Play, Drama","Sep 01, 1921",Sep 1921,36
Sybil,Original,"Musical, Comedy","Jan 10, 1916","Jun 03, 1916",168
Sylvia,Original,"Play, Comedy","Apr 25, 1923",May 1923,13
Sylvia,Original,"Play, Comedy","Oct 27, 2015","Jan 03, 2016",79
Sylvia Runs Away,Original,Play,"Aug 20, 1914",Aug 1914,12
Symphony,Original,"Play, Drama","Apr 25, 1935",Apr 1935,3
Symphony in Two Flats,Original,"Play, Comedy","Sep 16, 1930",Oct 1930,47
Synthetic Sin,Original,Play,"Oct 10, 1927",Oct 1927,24
Table by the Window,Original,Play,"Oct 25, 1956","Sep 28, 1957",332
Table Number Seven,Original,Play,"Oct 25, 1956","Sep 28, 1957",332
Taboo,Original,"Play, Drama","Apr 04, 1922",Apr 1922,3
Taboo,Original,"Musical, Drama","Nov 13, 2003","Feb 08, 2004",100
Tainted Philanthropy,Original,Play,"Nov 26, 1912","Nov 26, 1912",1
Take a Bow,Original,"Musical, Revue","Jun 15, 1944","Jun 24, 1944",12
Take a Chance,Original,"Musical, Comedy","Nov 26, 1932","Jul 01, 1933",243
Take a Giant Step,Original,"Play, Drama","Sep 24, 1953","Nov 28, 1953",76
"Take Her, She's Mine",Original,"Play, Comedy","Dec 21, 1961","Dec 08, 1962",404
Take It as It Comes,Original,Play,"Feb 10, 1944","Feb 23, 1944",16
Take It From Me,Original,Musical,"Mar 31, 1919","Jun 21, 1919",96
Take Me Along,Original,"Musical, Comedy","Oct 22, 1959","Dec 17, 1960",448
Take Me Along,Revival,"Musical, Comedy","Apr 14, 1985","Apr 14, 1985",1
Take My Advice,Original,Play,"Nov 27, 1911",Feb 1912,80
Take My Advice,Original,"Play, Comedy","Nov 01, 1927",Dec 1927,39
Take My Tip,Original,"Play, Comedy","Apr 11, 1932",Apr 1932,16
Take the Air,Original,"Musical, Comedy","Nov 22, 1927","May 19, 1928",206
Taking Chances,Original,Play,"Mar 17, 1915",May 1915,85
Taking Sides,Original,Play,"Oct 17, 1996","Dec 29, 1996",85
Taking Steps,Original,Play,"Feb 20, 1991","Apr 28, 1991",78
Tales of Rigo,Original,"Musical, Drama","May 30, 1927","Jun 04, 1927",8
Talk About Girls,Original,"Musical, Comedy","Jun 14, 1927","Jun 25, 1927",15
Talk Radio,Original,"Play, Drama","Mar 11, 2007","Jun 24, 2007",121
Talking Cure,Original,"Play, Comedy","Oct 20, 2011","Jan 29, 2012",117
Talking to You,Original,"Play, Drama","Aug 17, 1942","Aug 22, 1942",8
Tall Story,Original,"Play, Comedy","Jan 29, 1959","May 02, 1959",108
Taller Than a Dwarf,Original,"Play, Comedy","Apr 25, 2000","Jun 11, 2000",56
Talley's Folly,Original,"Play, Comedy","Feb 20, 1980","Nov 18, 1980",286
Tamaris and Her Group,Original,"Musical, Ballet","Jan 13, 1935","Jan 13, 1935",1
Tamburlaine the Great,Original,Play,"Jan 19, 1956","Feb 04, 1956",20
Tangletoes,Original,Play,"Feb 17, 1925",Mar 1925,23
Tango Pasion,Original,"Musical, Dance","Apr 28, 1993","May 02, 1993",5
Tantalizing Tommy,Original,"Musical, Comedy","Oct 01, 1912","Oct 26, 1912",31
Tante,Original,Play,"Oct 28, 1913",Jan 1914,79
Tanyard Street,Original,Play,"Feb 04, 1941","Feb 23, 1941",23
Tapestry in Gray,Original,"Play, Drama","Dec 27, 1935",Jan 1936,24
Taps,Original,"Play, Drama","Sep 17, 1904",Oct 1904,25
Taps,Revival,Play,"Apr 14, 1925",May 1925,32
Tarnish,Original,Play,"Oct 01, 1923",May 1924,248
Tarzan,Original,"Musical, Comedy","May 10, 2006","Jul 08, 2007",486
Tarzan of the Apes,Original,"Play, Melodrama","Sep 07, 1921",Sep 1921,14
Tattle Tales,Original,"Musical, Revue","Jun 01, 1933","Jun 24, 1933",28
Taxi Tales,Original,Play,"Dec 28, 1978","Dec 31, 1978",6
Tchin-Tchin,Original,Play,"Oct 25, 1962","May 18, 1963",222
